Unnamed: 0,Ticker,Name,Last,SectorCode,IndCode,Price,MktCap,Vol3MAvg,Pr52W%Chg,Pr4W%Chg,Pr4WRel%ChgInd,Pr4WRel%Chg,Yield,PEExclXorPTM,PEG,PERelative,ProjPECurFY,ProjPENextFY,Pr2BookQ,Pr2NetFrCashFlTTM,Pr2SalesTTM
1,HOUS:USA 3M 1Y 3YHOUS:USA3M1Y3Y Customize...,Anywhere Real Estate Inc,9.34,FINANCIAL,REALESTATESVCE,9.34,1103.43,33.68,-46.72,-19.27,-3.09,-13.21,0.0,9.72,,-1.83,3.73,3.81,0.52,3.31,0.14
2,LNW:USA 3M 1Y 3YLNW:USA3M1Y3Y Customize...,LIGHT & WONDER INC,47.01,CONSUMERSVCE,HOSPITALITY,47.01,4559.97,16.65,-38.21,-5.24,-0.05,0.82,0.0,,,,17.13,12.13,,9.23,1.77
3,MMSI:USA 3M 1Y 3YMMSI:USA3M1Y3Y Customize...,Merit Medical Systems Inc,51.99,HEALTHCARE,MEDDEVICESGEN,51.99,2945.49,7.8,-15.57,-13.26,-1.93,-7.2,0.0,967.59,1.22,2.33,20.87,18.8,2.83,29.23,2.71
4,MMYT:USA 3M 1Y 3YMMYT:USA3M1Y3Y Customize...,MakeMyTrip Ltd,26.0,CONSUMERSVCE,HOSPITALITY,26.0,2723.06,7.33,-13.3,3.13,-0.05,9.19,0.0,,,,,138.48,3.16,686.27,9.3
5,MNRL:USA 3M 1Y 3YMNRL:USA3M1Y3Y Customize...,Brigham Minerals Inc,27.19,FINANCIAL,INVESTSVCE,27.19,1396.18,12.43,29.54,2.84,5.55,8.9,2.35,,,,9.13,10.47,2.27,,6.83
6,MNRO:USA 3M 1Y 3YMNRO:USA3M1Y3Y Customize...,Monro Inc,40.0,CYCLICALS,AUTORETAIL,40.0,1341.87,8.25,-35.11,0.5,-2.11,6.56,2.8,63.06,1.66,2.91,24.89,19.38,1.74,12.24,1.0
7,MNST:USA 3M 1Y 3YMNST:USA3M1Y3Y Customize...,Monster Beverage Corp,88.12,NONCYCLICAL,FOODDRINKMFR,88.12,46672.06,64.02,-4.26,1.57,3.06,7.63,0.0,33.8,2.76,32.4,32.66,27.58,6.87,51.89,8.11
8,MNTV:USA 3M 1Y 3YMNTV:USA3M1Y3Y Customize...,Momentive Global Inc,9.51,TECH,SOFTW,9.51,1430.49,36.8,-56.69,-18.58,-1.68,-12.52,0.0,,,,,,4.62,35.19,3.12
9,MO:USA 3M 1Y 3YMO:USA3M1Y3Y Customize...,Altria Group Inc,45.31,NONCYCLICAL,TOBACCO,45.31,82111.31,226.07,-4.19,-11.31,-4.86,-5.25,7.95,20.5,1.63,19.85,9.33,8.79,,46.75,3.91
10,MODN:USA 3M 1Y 3YMODN:USA3M1Y3Y Customize...,Model N Inc,23.67,HEALTHCARE,HCARESUPPORT,23.67,871.43,3.12,-32.7,9.28,0.07,15.34,0.0,,,,41.22,37.36,6.57,46.28,4.18
11,MOG.A:USA 3M 1Y 3YMOG.A:USA3M1Y3Y Customize...,Moog Inc.,74.89,INDUSTRIAL,AERODEF,74.89,2391.76,3.32,-12.91,-0.31,0.14,5.75,1.39,,,1.29,13.87,12.53,1.68,15.14,0.82
12,MOH:USA 3M 1Y 3YMOH:USA3M1Y3Y Customize...,Molina Healthcare Inc.,251.75,HEALTHCARE,HCARESUPPORT,251.75,14853.25,8.17,2.17,-18.61,0.07,-12.55,0.0,20.89,1.19,28.08,14.58,12.88,5.29,8.08,0.51
13,MORN:USA 3M 1Y 3YMORN:USA3M1Y3Y Customize...,Morningstar Inc,228.4,TECH,INTERNET,228.4,9768.13,3.14,-7.12,-3.67,-3.11,2.39,0.63,44.99,,66.54,34.1,27.31,7.32,40.22,5.62
14,MOS:USA 3M 1Y 3YMOS:USA3M1Y3Y Customize...,Mosaic Company (The),50.6,MATERIALS,CHEMSPECIAL,50.6,18317.65,186.02,64.07,-17.28,-4.23,-11.22,1.19,13.22,,,3.54,4.71,1.61,19.54,1.34
15,MP:USA 3M 1Y 3YMP:USA3M1Y3Y Customize...,MP Materials Corp,32.96,MATERIALS,ORE,32.96,5851.26,58.94,4.44,-15.36,-1.85,-9.3,0.0,,0.96,,22.43,18.43,5.85,117.88,14.55
16,MPC:USA 3M 1Y 3YMPC:USA3M1Y3Y Customize...,Marathon Petroleum Corp,87.29,ENERGY,DOWNSTREAMENERGY,87.29,47573.05,129.96,42.98,-8.85,0.13,-2.79,2.66,,0.77,37.57,6.75,10.36,2.07,14.89,0.37
17,MPLN:USA 3M 1Y 3YMPLN:USA3M1Y3Y Customize...,MultiPlan Corp,5.43,HEALTHCARE,HCARESUPPORT,5.43,3469.38,42.58,-41.93,15.04,0.07,21.1,0.0,,,,27.11,22.73,1.45,10.05,2.99
18,MPW:USA 3M 1Y 3YMPW:USA3M1Y3Y Customize...,Medical Properties Trust Inc,14.36,FINANCIAL,REIT,14.36,8596.99,134.45,-29.16,-20.79,-1.94,-14.73,8.08,21.94,11.47,8.28,7.66,10.92,0.96,,5.4
