,Name,# Stocks,Created,Updated
0,JE_Rolling_DL__06_17_22_v148,772,06/17/22,06/17/22
1,JE_Rolling_DL__06_17_22_v147,486,06/17/22,06/17/22
2,JE_Rolling_DL__06_17_22_v146,484,06/17/22,06/17/22
3,JE_Rolling_DL__06_17_22_v145,486,06/17/22,06/17/22
4,JE_Rolling_DL__06_17_22_v144,494,06/17/22,06/17/22
5,JE_Rolling_DL__06_16_22_v143,772,06/16/22,06/16/22
6,JE_Rolling_DL__06_16_22_v142,486,06/16/22,06/16/22
7,JE_Rolling_DL__06_16_22_v141,484,06/16/22,06/16/22
8,JE_Rolling_DL__06_16_22_v140,486,06/16/22,06/16/22
9,JE_Rolling_DL__06_16_22_v139,494,06/16/22,06/16/22
10,JE_Rolling_DL__06_15_22_v138,772,06/15/22,06/15/22
11,JE_Rolling_DL__06_15_22_v137,486,06/15/22,06/15/22
12,JE_Rolling_DL__06_15_22_v136,484,06/15/22,06/15/22
13,JE_Rolling_DL__06_15_22_v135,486,06/15/22,06/15/22
14,JE_Rolling_DL__06_15_22_v134,494,06/15/22,06/15/22
15,JE_Rolling_DL__06_14_22_v133,772,06/14/22,06/14/22
16,JE_Rolling_DL__06_14_22_v132,486,06/14/22,06/14/22
17,JE_Rolling_DL__06_14_22_v131,484,06/14/22,06/14/22
18,JE_Rolling_DL__06_14_22_v130,486,06/14/22,06/14/22
19,JE_Rolling_DL__06_14_22_v129,494,06/14/22,06/14/22
20,JE_Rolling_DL__06_09_22_v128,772,06/09/22,06/09/22
21,JE_Rolling_DL__06_09_22_v127,486,06/09/22,06/09/22
22,JE_Rolling_DL__06_09_22_v126,484,06/09/22,06/09/22
23,JE_Rolling_DL__06_09_22_v125,486,06/09/22,06/09/22
24,JE_Rolling_DL__06_09_22_v124,494,06/09/22,06/09/22
25,JE_Rolling_DL__06_06_22_v123,772,06/06/22,06/06/22
26,JE_Rolling_DL__06_06_22_v122,486,06/06/22,06/06/22
27,JE_Rolling_DL__06_06_22_v121,484,06/06/22,06/06/22
28,JE_Rolling_DL__06_06_22_v120,487,06/06/22,06/06/22
29,JE_Rolling_DL__06_06_22_v119,494,06/06/22,06/06/22
30,JE_Rolling_DL__05_31_22_v118,772,05/31/22,05/31/22
31,JE_Rolling_DL__05_31_22_v117,486,05/31/22,05/31/22
32,JE_Rolling_DL__05_31_22_v116,484,05/31/22,05/31/22
33,JE_Rolling_DL__05_31_22_v115,487,05/31/22,05/31/22
34,JE_Rolling_DL__05_31_22_v114,494,05/31/22,05/31/22
35,JE_Rolling_DL__04_24_22_v113,772,04/24/22,04/24/22
36,JE_Rolling_DL__04_24_22_v112,486,04/24/22,04/24/22
37,JE_Rolling_DL__04_24_22_v111,484,04/24/22,04/24/22
38,JE_Rolling_DL__04_24_22_v110,487,04/24/22,04/24/22
39,JE_Rolling_DL__04_24_22_v109,494,04/24/22,04/24/22
40,JE_Rolling_DL__04_19_22_v109,494,04/20/22,04/20/22
41,JE_Rolling_DL__01_18_22_v108,772,01/18/22,01/18/22
42,JE_Rolling_DL__01_18_22_v107,486,01/18/22,01/18/22
43,JE_Rolling_DL__01_18_22_v106,484,01/18/22,01/18/22
